gene_name	gene_group
TRAJ58	exclude
TRAJ57	exclude
TRAJ56	exclude
TRAJ55	exclude
TRAJ54	exclude
TRAJ53	exclude
TRAJ52	exclude
TRAJ51	exclude
TRAJ50	exclude
TRAJ49	exclude
TRAJ48	exclude
TRAJ47	exclude
TRAJ46	exclude
TRAJ45	exclude
TRAJ44	exclude
TRAJ43	exclude
TRAJ42	exclude
TRAJ41	exclude
TRAJ40	exclude
TRAJ39	exclude
TRAJ38	exclude
TRAJ37	exclude
TRAJ36	exclude
TRAJ35	exclude
TRAJ34	exclude
TRAJ33	exclude
TRAJ32	exclude
TRAJ31	exclude
TRAJ30	exclude
TRAJ29	exclude
TRAJ28	exclude
TRAJ27	exclude
TRAJ26	exclude
TRAJ25	exclude
TRAJ24	exclude
TRAJ23	exclude
TRAJ22	exclude
TRAJ21	exclude
TRAJ20	exclude
TRAJ19	exclude
TRAJ18	exclude
TRAJ17	exclude
TRAJ16	exclude
TRAJ14	exclude
TRAJ13	exclude
TRAJ12	exclude
TRAJ11	exclude
TRAJ10	exclude
TRAJ9	exclude
TRAJ8	exclude
TRAJ7	exclude
TRAJ6	exclude
TRAJ5	exclude
TRAJ4	exclude
TRAJ3	exclude
TRAJ2	exclude
TRAJ1	exclude
IGHJ6	exclude
IGHJ3P	exclude
IGHJ5	exclude
IGHJ4	exclude
IGHJ3	exclude
IGHJ2P	exclude
IGHJ2	exclude
IGHJ1	exclude
IGHD7-27	exclude
IGHJ1P	exclude
IGHD1-26	exclude
IGHD6-25	exclude
IGHD5-24	exclude
IGHD4-23	exclude
IGHD3-22	exclude
IGHD2-21	exclude
IGHD1-20	exclude
IGHD6-19	exclude
IGHD5-18	exclude
IGHD4-17	exclude
IGHD3-16	exclude
IGHD2-15	exclude
IGHD1-14	exclude
IGHD6-13	exclude
IGHD5-12	exclude
IGHD4-11	exclude
IGHD3-10	exclude
IGHD3-9	exclude
IGHD2-8	exclude
IGHD1-7	exclude
IGHD6-6	exclude
IGHD5-5	exclude
IGHD4-4	exclude
IGHD3-3	exclude
IGHD2-2	exclude
IGHD1-1	exclude
IGHV6-1	exclude
IGHVII-1-1	exclude
IGHV1-2	exclude
IGHVIII-2-1	exclude
IGHV1-3	exclude
IGHV4-4	exclude
IGHV7-4-1	exclude
IGHV2-5	exclude
IGHVIII-5-1	exclude
IGHVIII-5-2	exclude
IGHV3-6	exclude
IGHV3-7	exclude
IGHV3-64D	exclude
IGHV5-10-1	exclude
IGHV3-11	exclude
IGHVIII-11-1	exclude
IGHV1-12	exclude
IGHV3-13	exclude
IGHVIII-13-1	exclude
IGHV1-14	exclude
IGHV3-15	exclude
IGHVII-15-1	exclude
IGHV3-16	exclude
IGHVIII-16-1	exclude
IGHV1-17	exclude
IGHV1-18	exclude
IGHV3-19	exclude
IGHV3-20	exclude
IGHV3-21	exclude
IGHV3-22	exclude
IGHVII-22-1	exclude
IGHVIII-22-2	exclude
IGHV3-23	exclude
IGHV1-24	exclude
IGHV3-25	exclude
IGHVIII-25-1	exclude
IGHV2-26	exclude
IGHVIII-26-1	exclude
IGHVII-26-2	exclude
IGHV7-27	exclude
IGHV4-28	exclude
IGHVII-28-1	exclude
IGHV3-32	exclude
IGHV3-30	exclude
IGHVII-30-1	exclude
IGHV3-30-2	exclude
IGHV4-31	exclude
IGHVII-30-21	exclude
IGHV3-29	exclude
IGHV3-33	exclude
IGHVII-33-1	exclude
IGHV3-33-2	exclude
IGHV4-34	exclude
IGHV7-34-1	exclude
